"MinDate","StatVar","Units","observationPeriods","NumPlaces","ScalingFactors","MeasurementMethods"
"2009","Count_Person_15To19Year_InLaborForce_Male","[]","[]","22","[]","[]"
"2009","Count_Person_20To24Years_InLaborForce_Male","[]","[]","22","[]","[]"
"2009","Count_Person_45To49Years_InLaborForce_Female","[]","[]","22","[]","[]"
"2009","Count_Person_55To59Years_InLaborForce_Female","[]","[]","22","[]","[]"
"2009","Count_Person_70OrMoreYears_InLaborForce_Male","[]","[]","22","[]","[]"
"2009","Count_Person_30To34Years_InLaborForce","[]","[]","22","[]","[]"
"2009","Count_Person_50To54Years_InLaborForce","[]","[]","22","[]","[]"
"2009","Count_Person_35To39Years_InLaborForce_Female","[]","[]","22","[]","[]"
"2009","Count_Person_30To34Years_InLaborForce_Male","[]","[]","22","[]","[]"
"2009","Count_Person_25To29Years_InLaborForce","[]","[]","22","[]","[]"
"2009","Count_Person_40To44Years_InLaborForce_Male","[]","[]","22","[]","[]"
"2009","Count_Person_25To29Years_InLaborForce_Female","[]","[]","22","[]","[]"
"1992","Count_Person_InLaborForce_Male","[]","[]","23","[]","[]"
"2009","Count_Person_50To54Years_InLaborForce_Male","[]","[]","22","[]","[]"
"2009","Count_Person_45To49Years_InLaborForce","[]","[]","22","[]","[]"
"2009","Count_Person_60To64Years_InLaborForce_Male","[]","[]","22","[]","[]"
"2009","Count_Person_65To69Years_InLaborForce","[]","[]","22","[]","[]"
"2009","Count_Person_15To19Years_InLaborForce_Female","[]","[]","22","[]","[]"
"2009","Count_Person_25To29Years_InLaborForce_Male","[]","[]","22","[]","[]"
"2009","Count_Person_35To39Years_InLaborForce_Male","[]","[]","22","[]","[]"
"2009","Count_Person_15To19Years_InLaborForce","[]","[]","22","[]","[]"
"1992","Count_Person_InLaborForce","[]","[]","23","[]","[]"
"2009","Count_Person_60To64Years_InLaborForce","[]","[]","22","[]","[]"
"2009","Count_Person_65To69Years_InLaborForce_Male","[]","[]","22","[]","[]"
"2009","Count_Person_45To49Years_InLaborForce_Male","[]","[]","22","[]","[]"
"2009","Count_Person_70OrMoreYears_InLaborForce_Female","[]","[]","23","[]","[]"
"2009","Count_Person_55To59Years_InLaborForce_Male","[]","[]","22","[]","[]"
"2009","Count_Person_35To39Years_InLaborForce","[]","[]","22","[]","[]"
"2009","Count_Person_65To69Years_InLaborForce_Female","[]","[]","22","[]","[]"
"2009","Count_Person_60To64Years_InLaborForce_Female","[]","[]","22","[]","[]"
"2009","Count_Person_50To54Years_InLaborForce_Female","[]","[]","22","[]","[]"
"2009","Count_Person_40To44Years_InLaborForce","[]","[]","22","[]","[]"
"2009","Count_Person_20To24Years_InLaborForce_Female","[]","[]","22","[]","[]"
"2009","Count_Person_55To59Years_InLaborForce","[]","[]","22","[]","[]"
"2009","Count_Person_70OrMoreYears_InLaborForce","[]","[]","22","[]","[]"
"2009","Count_Person_30To34Years_InLaborForce_Female","[]","[]","22","[]","[]"
"2009","Count_Person_20To24Years_InLaborForce","[]","[]","22","[]","[]"
"2009","Count_Person_40To44Years_InLaborForce_Female","[]","[]","22","[]","[]"
"1992","Count_Person_InLaborForce_Female","[]","[]","23","[]","[]"
